,Unnamed: 0,comments,commonName,county,date,day,decimalLatitude,decimalLongitude,disposal,family,freshMarineIntro,genus,group,huc8,huc8Name,key,locality,month,museumCatNumber,recordType,references,scientificName,species,speciesID,state,status,year,ARC_ID,Reach_FID,AC_FID,Mean_Temp,Mean_Flow,AVG_SLOPE
0,1517,,Common Carp,Calhoun,1963,0,39.085038,-90.683212,museum,Cyprinidae,Freshwater,Cyprinus,Fishes,7110004,The Sny,160376,"Mississippi River, Calhoun County",0,INHS 13966,Specimen,[],Cyprinus carpio,carpio,4,Illinois,established,1963,160376,8,,13.3031039089,933.735619695,0.640084
1,1562,,Common Carp,Sangamon,1966,0,39.735063,-89.573035,museum,Cyprinidae,Freshwater,Cyprinus,Fishes,7130007,South Fork Sangamon,160457,Horse Creek,0,INHS 17210,Specimen,[],Cyprinus carpio,carpio,4,Illinois,established,1966,160457,9,,13.2835789564,564.188994251,0.701364
2,1585,,Common Carp,Logan,1963,0,40.112266,-89.378152,museum,Cyprinidae,Freshwater,Cyprinus,Fishes,7130009,Salt,160532,Deer Creek,0,INHS 18605,Specimen,[],Cyprinus carpio,carpio,4,Illinois,established,1963,160532,10,,13.655023237,268.665522943,1.274481
3,1644,,Common Carp,Whiteside,1965,0,41.750029,-90.009563,museum,Cyprinidae,Freshwater,Cyprinus,Fishes,7090005,Lower Rock,160852,Rock Creek,0,INHS 22815,Literature,"[{u'refType': u'Web Page', u'publisher': u'Illinois Natural History Survey.', u'publisherLocation': u'', u'title': u'Illinois Natural History Survey Fish Collection Database Search Results.', u'author': u'Illinois Natural History Survey.', u'key': 14023, u'year': 2004}]",Cyprinus carpio,carpio,4,Illinois,established,1965,160852,16,,13.3101241675,1074.5112677,1.219535
4,1669,,Common Carp,Rock Island,1965-6-12,12,41.516033,-90.508461,museum,Cyprinidae,Freshwater,Cyprinus,Fishes,7080101,Copperas-Duck,162972,"Rock River, Rock Island County",6,INHS 24663,Literature,"[{u'refType': u'Web Page', u'publisher': u'Illinois Natural History Survey.', u'publisherLocation': u'', u'title': u'Illinois Natural History Survey Fish Collection Database Search Results.', u'author': u'Illinois Natural History Survey.', u'key': 14023, u'year': 2004}]",Cyprinus carpio,carpio,4,Illinois,established,1965,162972,34,,12.8927419926,241.795681573,2.680085
5,1830,,Common Carp,Lee,1998,0,41.625388,-89.570246,museum,Cyprinidae,Freshwater,Cyprinus,Fishes,7090007,Green,164305,Green River,0,INHS 47888,Literature,"[{u'refType': u'Web Page', u'publisher': u'Illinois Natural History Survey.', u'publisherLocation': u'', u'title': u'Illinois Natural History Survey Fish Collection Database Search Results.', u'author': u'Illinois Natural History Survey.', u'key': 14023, u'year': 2004}]",Cyprinus carpio,carpio,4,Illinois,established,1998,164305,47,,13.617720295,212.366072235,2.950366
6,1831,,Common Carp,Whiteside,1997,0,41.783889,-89.752636,museum,Cyprinidae,Freshwater,Cyprinus,Fishes,7090005,Lower Rock,164306,Rock River,0,INHS 47933,Literature,"[{u'refType': u'Web Page', u'publisher': u'Illinois Natural History Survey.', u'publisherLocation': u'', u'title': u'Illinois Natural History Survey Fish Collection Database Search Results.', u'author': u'Illinois Natural History Survey.', u'key': 14023, u'year': 2004}]",Cyprinus carpio,carpio,4,Illinois,established,1997,164306,48,,13.6852074016,179.557514358,1.644871
7,1929,,Common Carp,Sullivan,1993-5-16,16,36.549949,-82.609806,,Cyprinidae,Freshwater,Cyprinus,Fishes,6010102,South Fork Holston,165654,South Fork Holston HUC-8,5,,Literature,"[{u'refType': u'Book', u'publisher': u'The University of Tennessee Press', u'publisherLocation': u'Knoxville, TN', u'title': u'The fishes of Tennessee.', u'author': u'Etnier, D.A., and W.C. Starnes.', u'key': 705, u'year': 1993}]",Cyprinus carpio,carpio,4,Tennessee,established,1993,165654,79,,13.0062501424,385.429112545,0.0
8,2011,,Common Carp,Maricopa,2001,0,33.553555,-111.54393,,Cyprinidae,Freshwater,Cyprinus,Fishes,15060106,Lower Salt,167627,Salt River below Saguaro Lake,0,,Literature,"[{u'refType': u'Other', u'publisher': u'DeLorme, Yarmouth, Maine.', u'publisherLocation': u'', u'title': u'Arizona Atlas and Gazetteer.', u'author': u'DeLorme.', u'key': 21031, u'year': 2001}]",Cyprinus carpio,carpio,4,Arizona,established,2001,167627,123,,13.9565692235,135.379390072,1.200822
9,2012,,Common Carp,Gila,2001,0,33.6511,-111.049,,Cyprinidae,Freshwater,Cyprinus,Fishes,15060103,Upper Salt,167628,Salt River (Cherry Creek to Roosevelt),0,,Literature,"[{u'refType': u'Other', u'publisher': u'DeLorme, Yarmouth, Maine.', u'publisherLocation': u'', u'title': u'Arizona Atlas and Gazetteer.', u'author': u'DeLorme.', u'key': 21031, u'year': 2001}]",Cyprinus carpio,carpio,4,Arizona,established,2001,167628,124,,13.9523090439,127.18083413,1.968238
