,species,huc8,day,month,date,decimalLatitude,decimalLongitude,status
0,molitrix,3150110,1,10,1984-10-1,32.6067,-85.8896,failed
1,molitrix,3150110,7,11,1986-11-7,32.6067,-85.8896,failed
2,molitrix,3150110,25,9,1984-9-25,32.612592,-85.879784,failed
3,molitrix,3160100,25,9,1996-9-25,33.6430543,-87.89798,failed
4,molitrix,8020303,25,9,1975-9-25,34.488519,-91.254416,established
5,molitrix,0,25,9,1986-9-25,34.89983,-92.43916,established
6,molitrix,8020204,25,8,1988-8-25,35.892388,-90.160675,established
7,molitrix,8010100,25,8,1988-8-25,35.646137,-89.89151,established
8,molitrix,8020302,25,8,1988-8-25,35.868604,-90.665923,established
9,molitrix,11010009,25,8,1988-8-25,35.989813,-91.171761,established
10,molitrix,8020204,25,8,1988-8-25,35.658412,-90.314484,established
11,molitrix,8020301,25,8,1988-8-25,34.984722,-91.492424,established
12,molitrix,8020303,25,8,1988-8-25,34.265161,-90.98877,established
13,molitrix,11110203,25,8,1988-8-25,35.274774,-92.969055,established
14,molitrix,11110203,25,8,1988-8-25,35.001878,-92.399826,established
15,molitrix,11110207,25,8,1988-8-25,34.828459,-92.423172,established
16,molitrix,8020303,25,8,1988-8-25,34.69138,-91.530533,established
17,molitrix,8020402,25,8,1988-8-25,34.707642,-91.811936,established
18,molitrix,8020402,25,8,1988-8-25,34.707642,-91.811936,established
19,molitrix,11110207,25,8,1988-8-25,34.480099,-92.123108,established
20,molitrix,11110000,25,8,1988-8-25,34.680652,-92.152977,established
21,molitrix,8020402,25,8,1988-8-25,34.707642,-91.811936,established
22,molitrix,8040203,25,8,1988-8-25,34.595363,-92.607129,established
23,molitrix,8020303,25,8,1988-8-25,33.961729,-91.135368,established
24,molitrix,8020402,25,8,1975-8-25,34.330147,-91.63589,established
25,molitrix,15050100,25,8,1972-8-25,33.300547,-111.81876,eradicated
26,molitrix,0,25,8,1996-8-25,38.99855,-105.54783,failed
27,molitrix,20000000,25,8,1992-8-25,19.60241,-155.54324,failed
28,molitrix,7080104,20,12,1986-12-20,40.383428,-91.387024,established
29,molitrix,7140101,25,3,1990-3-25,38.373289,-90.349674,established
30,molitrix,7140106,15,8,1994-8-15,37.626469,-89.427853,established
31,molitrix,7140108,15,8,1994-8-15,37.148653,-89.327817,established
32,molitrix,7140108,14,6,1995-6-14,37.121864,-89.320908,established
33,molitrix,5120112,14,6,1987-6-14,39.45785,-88.14573,established
34,molitrix,5000000,14,6,1992-6-14,0.0,0.0,established
35,molitrix,0,14,6,1991-6-14,38.48473,-98.38019,established
36,molitrix,5140202,14,6,1991-6-14,37.793236,-87.996368,established
37,molitrix,5140101,14,6,1984-6-14,38.270128,-85.770779,unknown
38,molitrix,5140202,14,6,1986-6-14,37.793779,-87.994995,established
39,molitrix,11140203,14,6,1989-6-14,32.248632,-93.409538,established
